lance_id;fecha;lat;lon;A̱o
1;07-08-2025;-43.515;-75.22667;2025
2;08-08-2025;-43.615;-74.97833;2025
3;08-08-2025;-43.68333;-75.16667;2025
4;08-08-2025;-43.90167;-75.23667;2025
5;09-08-2025;-44.03167;-75.22833;2025
6;09-08-2025;-44.09833;-75.135;2025
7;10-08-2025;-44.13167;-74.98567;2025
8;10-08-2025;-44.21667;-74.86833;2025
9;11-08-2025;-44.23;-75.15333;2025
10;11-08-2025;-44.34167;-75.35667;2025
11;11-08-2025;-44.46167;-75.34333;2025
12;12-08-2025;-44.6;-75.38833;2025
13;13-08-2025;-44.65833;-75.36167;2025
14;13-08-2025;-44.77;-75.53167;2025
15;13-08-2025;-44.92666667;-75.49166667;2025
16;14-08-2025;-44.99833333;-75.50816667;2025
17;14-08-2025;-45.06833333;-75.25666667;2025
18;15-08-2025;-45.16833333;-75.34166667;2025
19;15-08-2025;-45.22;-75.42666667;2025
20;15-08-2025;-45.35333333;-75.49166667;2025
21;16-08-2025;-45.35;-75.07166667;2025
22;16-08-2025;-46.59166667;-75.66166667;2025
23;17-08-2025;-46.89833333;-75.66333333;2025
24;17-08-2025;-46.98;-75.62;2025
